Gene,EOL-1,HEL,Molm-13,MonoMac1,MV4;11,NB-4,OCI-AML2,OCI-AML3,OCI-AML5,P31-FUJ,PL-21,SKM-1,TF-1,THP-1
C10orf12,-0.075,0.227,-0.308,-0.46,-0.978,-0.395,-0.348,0.911,0.514,0.117,-0.939,-0.199,-0.991,-0.449
C11orf31,-0.625,-0.314,0.086,-0.736,-0.474,-0.096,-0.228,-0.087,-0.253,-0.367,-1.049,0.105,-0.981,-0.614
C11orf53,-0.217,-0.152,0.042,-0.979,0.151,0.14,0.259,0.156,-0.246,0.022,-0.391,-0.121,-1.428,-0.511
C11orf54,-0.509,0.164,-0.126,-0.667,0.037,-0.219,0.428,-0.421,0.26,0.035,0.002,0.01,0.443,0.025
C11orf70,-0.833,-0.121,-0.243,-0.698,-0.575,-0.265,-0.319,-0.054,-0.16,-1.025,-0.045,-0.247,0.317,0.117
C12orf44,-1.213,-0.09,-0.169,-0.715,-0.249,0.126,0.588,0.078,-0.024,-0.431,0.435,-0.686,-0.505,-0.223
C12orf49,-0.037,-1.096,-0.797,-0.566,-0.393,-0.816,-0.823,-0.245,0.04,0.208,-0.867,-0.03,-0.524,-0.104
C12orf61,0.006,-0.553,0.113,0.121,0.038,-0.858,0.065,0.05,-0.43,-0.288,-0.626,0.062,0.534,-0.448
C12orf66,0.055,-0.266,0.159,0.275,0.487,-1.036,0.077,0.358,-0.141,0.351,-0.303,0.107,-0.104,-0.363
C12orf71,-0.001,-0.335,-0.55,0.234,0.263,-0.518,0.124,0.093,0.147,0.274,-0.714,0.531,-0.421,-0.295
C12orf77,0.247,0.477,0.478,0.412,0.223,-0.265,-0.088,-0.195,0.551,0.09,-0.369,-0.135,-0.798,-0.802
C13orf45,-0.26,0.034,-0.83,0,0.058,-0.084,-0.552,-0.415,-0.013,-0.412,-0.923,-0.247,-0.366,-0.834
C14orf159,-0.148,-0.166,-0.146,-0.21,-0.71,-0.058,-0.121,-0.986,-0.432,-0.537,-1.064,-0.111,-0.303,-0.445
C15orf39,-0.181,-0.561,-0.597,-0.047,-0.854,-0.96,-0.674,-0.889,-0.377,-0.887,0.254,-0.258,-0.957,-0.719
C15orf57,0.094,-1.038,-0.803,0.182,-0.191,-0.617,-0.132,0.076,-0.392,-0.141,0.028,0.015,-0.319,-0.8
C15orf61,0.167,-1.097,-0.362,-0.464,-0.402,0.406,0.056,-0.471,-0.272,-0.318,-0.689,-0.243,-0.457,-0.468
C16orf3,0.013,-0.263,-0.147,-0.507,0.027,0.278,-0.186,0.035,-0.508,-0.53,-0.919,-0.216,-0.105,0.177
C16orf54,0.153,-0.005,-0.837,0.021,-0.768,-0.222,-0.136,-0.498,-0.598,0.146,-0.414,0.122,0.278,-0.438
C16orf70,-0.006,-0.498,-0.848,-0.2,-0.083,0.033,-0.057,-0.406,-0.477,-0.479,-0.27,0.019,-0.919,-1.047
C16orf92,-0.396,-0.056,-0.664,0.039,-0.324,-0.348,-0.732,-0.48,-0.241,0.155,-0.079,-0.263,-1.317,-0.052
C16orf93,-0.79,-0.513,-0.693,-0.555,-0.822,-0.312,-0.298,-0.672,-0.358,-0.113,-0.677,0.225,0.356,-0.247
C17orf58,-0.206,-0.939,-0.526,-0.109,-0.749,-0.706,-0.053,0.144,-0.987,-0.081,-0.473,-0.665,-0.265,-0.339
C17orf72,-0.157,-0.838,0.233,-0.036,-0.253,-0.024,-0.165,-0.624,-0.42,0.157,-0.695,0.014,-0.649,0.049
C17orf82,-0.1,-0.677,-0.701,0.167,-0.535,-1.309,-0.555,-0.13,-0.708,-0.371,-0.78,-0.476,-0.586,0.007
C18orf8,-0.419,0.229,0.387,-0.366,0.085,-0.295,0.514,0.327,-0.263,0.331,-0.632,0.181,-0.387,0.07
C19orf24,-0.783,-0.156,-0.701,-0.289,-1.145,-0.241,-0.279,-0.633,-0.854,-0.4,-0.624,-0.503,0.167,-0.658
C19orf25,-0.67,0.169,-0.521,-0.947,-1.111,-0.745,-0.264,-0.851,-0.986,-0.758,-0.458,-0.762,-0.866,-0.532
C19orf59,-0.042,-0.833,-0.995,-0.512,-0.961,-0.143,-0.182,-0.279,-0.783,-0.428,-0.214,-0.163,-0.003,-0.494
C19orf68,-0.753,-0.218,-0.756,-0.702,-0.883,-1.645,-0.337,-0.426,-0.884,-0.347,-0.674,-0.361,-0.816,-0.827
C1orf122,-0.127,-0.836,-0.318,-0.879,-0.253,-0.956,-0.686,-0.584,0.045,-0.02,-0.533,-0.282,-0.325,-0.913
C1orf131,-0.867,0.022,-0.467,-0.432,-0.277,-0.272,-0.207,0.169,-0.697,-0.449,0.073,-0.368,-1.588,-0.555
C1orf159,0.282,-0.07,0.635,-0.455,-0.282,-0.105,0.22,-0.17,-0.234,-0.18,-0.391,0.254,-1.258,-0.198
C1orf61,-0.896,-0.131,-0.011,-0.068,-0.388,-0.176,-0.161,-0.082,-0.311,-0.217,-0.391,-0.136,-0.578,-1.255
C1orf86,-0.095,-0.767,-0.079,-0.398,-0.841,-0.547,0.035,-0.284,-0.023,0.101,-0.566,-0.077,-1.356,-0.714
C1QL4,-0.191,0.05,0.169,-0.105,0.049,0.339,-0.309,0.196,0.156,0.417,-0.635,0.239,-0.591,0.186
C1QTNF9,-0.412,0.102,-0.783,-0.364,-0.745,-0.612,-0.169,-0.025,-0.581,-0.943,-0.063,-0.063,0.156,-0.647
C20orf24,-0.704,-1.661,-0.355,-0.45,-0.021,-0.031,-0.275,-0.649,-0.888,-0.238,-0.527,-0.402,-0.1,-0.652
C20orf26,-0.275,0.418,-0.036,0.032,0.07,0.057,0.271,-0.741,-0.372,0.15,-0.043,0.356,-0.381,-0.203
C21orf58,-0.233,-1.114,-0.02,-0.149,-0.615,0.218,0.195,-0.399,-0.65,-0.106,-0.374,0.246,-0.591,0.054
C22orf23,-0.524,-0.059,-0.084,-0.27,-0.212,0.12,-0.072,0.004,-0.676,-0.149,0.548,-0.172,-0.396,0.363
C2CD3,0.099,-1.16,-0.26,-0.395,0.073,-0.319,-0.35,0.089,0.015,-0.14,0.449,-0.486,-0.168,-0.294
C2orf53,-0.659,-0.11,-0.403,-0.182,-0.681,0.364,-0.692,-0.371,-0.554,-0.179,-0.137,-0.58,-0.912,-0.252
C2orf54,0.308,-0.076,0.066,0.135,0.296,-0.621,0.295,-0.119,0.446,0.567,-0.901,-0.25,0.314,-0.251
C2orf83,-0.751,0.335,0.287,-0.069,0.354,0.281,0.307,0.071,0.117,0.364,0.26,-0.046,0.338,-0.529
C3orf18,0.077,-0.937,-0.319,-0.17,-0.27,0.056,0.051,0.093,-0.126,-0.068,-0.696,-0.451,-0.563,-0.697
C3orf38,-0.441,-0.085,-0.285,-0.26,-0.279,-0.126,-0.888,-0.186,-1.531,-0.445,0.245,-0.755,-0.125,0.024
C3orf83,-0.23,-0.139,0.313,-0.004,0.185,-0.206,-0.15,0.272,-0.629,0.224,-0.565,-0.039,-0.113,-0.868
C4orf6,-0.069,0.399,-0.763,0.627,-0.031,-0.232,0.428,0.432,-0.362,-0.006,-0.035,0.018,-0.046,0.37
C5orf34,-0.478,-0.148,0.073,0.004,-0.443,0.171,-0.013,-0.756,0.065,0.18,-0.46,-0.728,-0.253,0.324
C5orf51,-0.334,0.424,0.148,-0.215,0.302,-0.9,0.414,-0.411,-0.037,0.291,-0.221,-0.007,-0.369,-0.299
C5orf55,-0.072,-0.018,-0.083,0.37,0.011,-0.105,-0.046,-0.448,-0.614,0.036,-0.805,-0.181,0.267,0.132
C6orf120,-0.609,-0.51,-1.379,-0.672,-0.347,-0.089,-0.714,-0.867,-0.963,-0.442,-0.207,-0.484,-0.739,-0.852
C7orf55-LUC7L2,-0.063,-0.787,0.268,-0.001,-0.177,-0.848,0.613,-0.209,-0.715,-0.542,-0.59,-0.471,-2.257,-0.24
C7orf73,0.07,0.699,0.007,-0.33,0.436,-0.005,0.255,-0.179,0.661,-0.287,-0.041,0.029,0.44,0.309
C8orf44,-0.337,0.2,-0.917,0.377,0.199,0.092,-0.015,-0.025,-0.341,0.154,-0.451,0.258,0.032,-0.185
C8orf74,0.773,0.306,-0.532,-0.137,-0.303,0.286,0.024,0.027,-0.041,-0.268,-0.299,0.185,-0.187,-0.067
C8orf82,-0.242,0.209,-0.888,-0.41,-0.656,0.224,-0.487,-0.398,-0.479,0.173,-0.882,-0.583,-0.076,0.255
C9orf142,-0.212,-0.902,-1.083,-0.211,-0.637,-0.362,-0.71,-0.426,-0.873,-0.086,-0.203,-0.113,0.123,-0.948
C9orf40,0.072,0.032,0.001,-0.343,-0.089,0.485,0.371,-0.189,-0.087,0.197,0.331,0.544,0.232,-0.63
C9orf50,-0.391,-0.299,0.552,-0.379,-0.335,-0.41,0.088,0.089,-0.689,0.377,-0.142,-0.239,-0.267,-0.054
C9orf69,-0.526,0.266,0.225,-0.605,-0.292,-0.636,-0.844,-0.38,0.48,-0.154,-0.181,-0.277,-0.148,-0.44
C9orf84,-0.698,-0.51,0.244,-0.616,0.432,-0.234,-0.197,-0.48,-0.107,0.237,-0.154,0.271,0.1,-0.223
CA1,-0.006,-0.315,-1.265,-0.027,-0.842,-0.023,-0.41,-0.238,-0.603,-0.421,0.133,-0.068,-0.204,-0.246
CA5B,0.244,0.191,0.097,-0.298,-0.299,0.242,-0.075,-0.562,0.278,0.628,0.069,0.091,0.683,0.358
CAAP1,-0.603,-1.559,0.534,-0.024,0.142,-0.387,0.055,0.476,-0.105,0.29,0.463,0.186,0.708,0.361
CACNB1,-0.093,-0.278,-0.716,-0.244,-0.249,-0.621,-0.348,0.072,0.053,-0.261,-0.681,-0.047,0.094,0.459
CADM1,0.661,-0.863,-0.235,-0.05,0.035,-0.168,0.011,0.182,-0.245,-0.375,0.069,-0.146,-0.291,-0.326
CADM4,-0.938,-0.111,-0.602,-0.049,-1.231,-0.041,-0.308,-0.083,-0.436,-0.4,-0.259,0.256,-0.237,-0.526
CALCB,-0.637,-0.074,-0.764,-0.438,-0.218,-0.051,-0.531,-0.145,-0.463,-0.77,0.264,-0.312,0.076,-0.822
CALR3,-0.483,0.016,-0.778,-0.361,-0.77,-0.392,-0.374,0.242,0.049,-0.112,-0.35,-0.346,-0.655,0.394
CAMK2N1,-0.054,-0.07,-0.202,0.237,0.175,-0.011,0.365,0.41,-0.202,0.357,-0.823,0.224,0.447,-0.222
CAMSAP2,0.073,-0.038,-1.174,-0.175,-0.14,-0.013,-0.2,-0.287,-0.263,-0.268,-0.52,-0.38,0.411,0.157
CAND2,-0.606,-0.309,-0.1,-0.337,-0.425,0.022,-0.299,-0.08,0.001,-0.459,-1.619,-0.685,-0.94,-0.211
CAPN11,-0.634,-0.178,-0.489,0.062,-0.158,0.026,-0.339,-0.54,-0.291,-0.808,-0.472,-0.208,-1.183,-0.302
CAPN8,-0.298,-0.573,-0.705,-0.241,0.033,-0.099,-0.571,-0.281,-1.028,0.034,0.572,-0.208,-0.924,-0.659
CAPNS2,-0.574,-0.566,-0.693,-0.002,-0.861,-0.267,-0.742,-0.611,-0.757,-0.719,0.24,-0.699,-1.215,-0.468
CAPRIN1,-0.752,0.111,0.168,-0.258,-0.198,-0.136,0.199,0.098,-0.273,0.283,0.17,-0.037,-1.404,0.372
CAPS,-0.553,0.128,-0.313,-0.401,-0.903,-0.13,-0.242,-0.065,-0.644,-0.067,-0.305,-0.585,-0.979,-0.113
CARM1,-0.081,-0.74,-1.541,-0.123,-0.804,-0.467,-0.78,-0.72,-0.366,-0.147,-0.798,-0.769,-0.04,0.52
CASKIN2,-0.554,-0.508,-0.566,-0.788,-0.583,-0.87,-0.144,-1.156,-0.499,0.139,-0.005,-0.274,-0.159,0.136
CASP14,0.066,-0.827,-0.358,-0.359,-0.472,-0.344,0.067,0.167,-0.206,-0.127,0.409,-0.238,-0.662,0.037
CBLC,-0.611,-0.225,-0.629,0.177,-0.333,-0.325,-0.455,-0.538,-0.655,-0.83,0.359,-0.719,-1.387,-0.608
CBX4,0.114,0.408,0.209,-0.951,-0.005,-0.175,-0.259,-0.634,-0.193,-0.089,0.035,-0.109,-0.45,0.293
CBX5,-0.25,-0.167,-0.641,-0.521,-1.105,-0.026,-0.004,-0.356,-0.204,0.034,-0.612,0.227,-0.059,-0.693
CBY3,0.192,-0.325,-1.133,-0.904,-0.049,0.134,-0.249,-0.151,0.13,0.11,-0.038,-0.027,-0.02,0.006
CCDC106,-0.823,-0.484,-0.881,0.084,-0.704,-0.464,-0.785,-0.462,-0.711,-0.349,-0.465,0.227,-0.315,-0.915
CCDC124,-0.336,-0.493,-0.713,-0.444,0.074,-0.02,-0.021,-0.291,-1.356,0.055,-0.264,-0.41,-0.535,0.422
CCDC136,-0.611,-0.682,-0.718,-0.508,-0.15,0.142,-0.149,0.517,-0.574,-0.514,-0.297,-0.037,-1.184,-0.266
CCDC147,0.147,-0.343,-0.788,-0.453,-0.337,-0.206,-0.343,-0.046,-0.253,-0.235,-0.483,-0.096,-1.108,0.328
CCDC15,0.384,-0.647,-0.209,0.117,0.045,0.141,0.435,-0.517,0.175,0.375,-0.019,0.1,0.505,0.289
CCDC151,-0.657,-0.238,-0.996,-0.153,-0.822,-0.1,-0.304,-0.126,-0.888,-0.212,-0.173,-0.561,-1.377,-0.007
CCDC22,-0.672,0.05,-0.663,-0.47,-0.08,-0.25,0.04,0.584,-0.055,-0.311,-0.937,-0.903,-0.373,-0.592
CCDC34,-1.269,-0.837,-0.694,-0.337,-0.615,0.067,0.09,0.116,-0.341,0.014,0.243,0.227,-0.273,-0.376
CCDC38,-0.308,-0.842,-0.146,-0.243,-0.287,0.445,-0.07,-0.167,-0.47,0.36,-0.474,-0.291,-0.474,-0.003
CCDC53,-0.403,0.25,-0.637,-0.732,-0.399,-0.206,-0.12,0.213,-0.345,-0.384,-0.796,-0.52,-0.312,-0.883
CCDC6,0.421,-0.604,-0.508,-0.676,0.328,-0.498,-0.43,0.043,-0.719,-0.947,0.005,-0.7,-0.539,-0.343
CCDC69,0.369,-0.015,-0.486,0.18,-0.078,0.333,-0.218,-0.823,-0.23,-0.053,-0.378,0.284,-0.516,-0.036
CCDC88B,-0.631,-0.274,-0.903,-0.177,-0.882,-0.396,-0.176,-0.349,-0.485,-0.622,-0.932,-0.345,-1.234,-0.76
CCDC89,-0.439,0.229,-0.108,0.099,-0.226,-0.687,0.054,0.106,-0.388,0.029,0.172,-0.055,-1.141,0.044
CCDC9,-0.617,0.022,-0.883,-0.583,-0.528,-1.457,-0.196,-0.207,-0.257,-0.59,-0.548,0.242,0.028,-0.09
CCDC93,-0.706,-0.003,-0.44,-0.821,0.014,0.004,0.022,-0.02,-0.534,-0.528,-0.718,-0.553,-1.885,-0.206
CCL11,-0.094,0.486,0.64,0.393,0.595,-0.48,0.305,-0.402,0.03,-0.317,-0.484,0.108,0.595,-0.01
CCL27,-0.296,-0.379,-1.103,0.042,-0.748,-0.233,-0.09,-0.629,0.025,-0.314,-0.185,-0.778,-0.284,-0.259
CCL3,-0.367,-0.187,-1.13,-0.21,-0.722,-0.868,-0.761,-0.244,-0.297,-0.565,0.154,-0.327,-0.707,0.014
CCL4L1,-0.546,0.004,-0.977,-0.098,-0.042,-0.05,-0.118,-0.296,-0.291,0.074,-0.061,-0.549,0.447,-0.331
CCL4L2,-0.655,0.017,-1.161,-0.011,0.032,-0.15,-0.127,-0.203,-0.299,-0.088,-0.115,-0.606,0.251,-0.341
CCM2,-0.358,0.295,0.03,0.045,-0.028,-0.631,0.292,-1.945,0.135,0.592,0.046,1.314,0.34,-0.35
CCM2L,-0.386,-1.497,-0.879,-0.367,-0.438,-0.221,-0.176,0.045,0.103,-0.339,-0.483,-0.34,-0.96,-0.529
CCNG1,-0.795,0.245,-0.56,0.06,-0.12,-0.176,-0.193,0.299,-0.195,0.239,0.197,0.005,-0.409,-0.053
CCNI,-1.049,-0.071,-0.097,0.177,-0.211,-0.421,-0.294,0.385,-0.439,0.1,-0.293,0.078,-0.375,-0.039
CCNI2,-0.271,-0.861,-0.449,0.366,-0.398,-0.045,-0.145,-0.727,-0.142,-0.191,-0.163,-0.214,-0.893,-0.064
CCNL2,-0.078,-0.355,-0.857,-0.298,-0.53,-0.009,-0.011,0.469,-0.591,0.202,-0.804,-0.091,-1.107,-0.393
CCSAP,-0.153,-0.37,-0.083,-0.067,0.376,0.475,-0.196,-0.395,-0.912,0.033,-0.025,-0.223,0.472,-0.295
CD19,-0.29,-0.544,-1.208,-0.18,-0.709,0.023,-0.273,-0.243,-0.596,-0.319,-0.135,-0.454,-0.845,-0.333
CD1B,-0.182,-0.282,-0.538,0.2,-0.129,0.16,0.084,-0.13,-0.164,-0.037,0.362,-0.3,-0.931,-0.108
CD1D,0.148,-0.537,0.226,-0.021,-0.202,0.179,0.064,-0.858,-0.44,-0.042,-0.048,0.306,0.187,0.056
CD27,-0.152,-0.221,-0.232,0.235,-0.578,-0.961,0.225,-0.581,-0.51,-0.615,-0.97,-0.132,0.027,-0.963
CD300LF,-0.51,-0.108,-1.002,-0.082,-0.235,-0.409,-0.265,-0.274,-0.162,-0.083,0.322,-0.284,0.374,-0.447
CD320,-0.118,0.006,-0.641,-0.159,-0.12,-0.404,-0.109,0.41,-0.773,-0.741,-0.232,-0.179,-0.214,-0.605
CD33,-0.288,-0.738,-0.884,0.027,-0.2,0.323,-0.161,-0.756,-0.567,-0.217,-1.398,-0.122,-0.326,-0.517
CD74,-0.089,0.012,-0.532,-0.116,-0.128,-0.072,-0.534,-0.155,-1.406,0.163,-0.484,-0.349,-0.522,-0.892
CDC42EP1,0.032,-0.041,-0.891,-0.183,-0.38,-0.974,-0.025,-0.069,-0.35,0.104,-0.181,0.092,-0.048,-0.017
CDC42EP3,-0.401,-0.155,0.194,0.2,-0.041,-0.092,0.25,0.282,-0.791,0.411,-0.105,-0.094,-0.521,-0.057
CDCA7,0.177,-0.5,-0.448,-0.005,-0.253,-0.448,-0.475,0.242,-0.127,-0.372,-0.12,0.093,-1.163,-0.302
CDH22,-0.34,0.338,-0.95,-0.12,-0.11,0.169,0.158,-0.741,0.096,-0.021,-0.858,-0.039,-0.129,0.08
CDK11B,-0.511,-0.291,-0.308,-0.36,-0.307,-0.834,-0.156,-0.152,-0.755,0.369,-0.336,-0.036,0.068,-1.073
CDK17,-0.066,-0.436,-0.136,0.234,0.386,0.056,0.365,0.592,0.352,0.153,-0.435,0.141,-0.38,0.041
CDK19,-0.526,-0.468,-0.532,0.403,-0.169,0.032,-0.758,-0.582,0.122,-0.06,-0.876,-0.07,-0.411,-0.153
CDK2AP2,0.133,-0.308,-0.7,-0.731,0.085,-0.198,-0.271,-0.393,-0.511,-0.598,-1.044,-0.429,-0.989,-0.503
CDK3,-0.174,-0.727,-0.83,-0.699,-0.765,-0.261,-0.689,-0.453,-0.81,-0.23,-0.896,-0.381,-1.766,-0.331
CDK5,-0.627,0.344,0.342,0.174,0.122,-0.408,-0.214,-0.055,0.157,-0.543,-0.083,0.586,0.215,0.606
CDK5R2,-0.367,-0.218,-0.921,-0.266,0.136,-0.405,-0.478,-0.089,-0.542,-0.168,-0.74,-0.212,-1.328,-0.69
CDK8,0.395,0.406,-0.25,-0.724,0.42,0.604,0.477,0.449,-0.486,-0.401,0.543,0.135,-0.506,0.213
CDKAL1,0.468,0.284,-0.323,0.194,0.302,0.38,-0.055,0.238,-0.784,0.171,0.142,0.377,-1.155,-0.651
CDKN1B,0.362,-0.026,0.604,-0.037,0.574,0.246,0.016,0.249,-0.13,-0.214,-0.049,0.049,-0.661,0.287
CDKN2C,0.554,-0.815,1.194,-0.015,-0.189,0.394,0.179,0.756,0.245,0.323,0.62,0.164,-0.753,0.671
CDKN2D,0.131,-1.367,-0.199,-0.159,-0.476,-0.914,-0.298,-0.654,-0.546,-0.267,-0.008,0.097,-0.299,0.203
CDR2,0.173,-0.056,0.643,0.209,-0.078,-0.1,0.173,-0.713,-0.049,0.336,0.071,-0.126,0.517,-0.332
CEACAM7,-0.33,0.258,-1.222,-0.509,-0.731,-0.051,-0.445,-0.621,-0.292,-0.578,-0.246,-0.283,-0.399,-0.568
CEBPG,-0.626,0.043,-1.083,-0.108,-0.475,0.234,-0.347,-0.421,-0.382,-0.534,-0.581,0.361,-0.58,-0.612
CELA1,-0.612,0.352,-0.064,-0.374,-0.37,-0.239,-0.188,-0.022,0.244,-0.182,-0.611,0.006,-1.139,-0.123
CELA3B,0.314,0.185,-0.642,-0.296,-0.087,0.283,0.019,0.06,-0.521,0.092,-0.747,0.039,0.153,-0.254
CELF2,0.48,-0.55,-0.281,0.24,0.552,-0.061,-0.458,0.041,-0.543,0.24,0.513,0.423,-0.962,-0.082
CEP120,-0.434,-1.179,-0.051,-0.468,0.122,-0.103,-0.493,-0.312,-0.416,0.538,0.089,-0.971,-0.863,0.047
CEP44,-0.182,-0.465,0.097,-0.125,0.278,-0.04,0.065,0.049,-0.618,0.457,-0.561,-0.692,-0.751,-0.147
CEP72,0.148,-0.256,-0.608,-0.478,-0.644,-0.306,-0.834,-0.906,-1.213,-0.093,-0.644,-0.135,-0.054,-0.365
CERS1,-0.47,-0.01,-0.821,-0.623,-0.922,-0.275,-0.268,-0.527,-0.897,-0.353,-0.621,-0.077,-1.607,-0.128
CERS4,-0.537,-0.562,-1.04,-0.132,-0.557,-0.834,-0.851,-0.023,-0.854,-0.515,0.092,-0.589,-0.647,-0.07
CERS6,0.425,0.441,1.131,0.622,0.421,0.399,0.395,0.527,0.43,0.542,0.72,1.498,0.206,2.1
CES4A,0.015,-0.214,-0.441,0.114,-0.268,-0.221,-0.111,-0.185,-0.334,-0.026,-1.107,-0.266,-0.568,0.229
CFD,-0.353,0.185,-0.945,-0.094,-0.601,-0.576,-0.322,-0.291,-0.552,-0.033,-0.393,-0.269,0.347,-0.304
CFP,-0.045,-0.559,-0.027,-0.064,-0.264,-0.023,-0.412,-0.054,-0.309,0.088,0.303,-0.273,-1.019,-0.36
CFTR,0.228,-0.107,0.394,-0.313,-0.049,0.111,0.337,-0.248,0.262,-0.133,0.418,0.002,-0.871,0.14
CHCHD5,-0.302,-0.427,0.435,-0.285,0.454,0.496,-0.032,0.297,0.212,-0.161,0.063,0.5,-0.029,0.396
CHD3,-0.542,-0.831,-0.21,-0.131,0.06,0.084,-0.152,-1.137,0.096,0.012,-0.16,-0.389,-0.629,-0.48
CHEK2,1.057,0.231,0.964,0.272,0.597,0.15,0.978,0.652,0.763,0.346,0.536,0.014,0.118,0.032
CHIC2,-0.561,-0.28,-0.331,-0.563,-0.774,-0.318,-0.59,-0.174,0.211,-0.401,-0.611,-0.346,-0.807,-1.217
CHRAC1,-0.07,-0.216,-1.141,-0.364,-0.562,0.155,-0.212,-0.471,-0.368,-0.069,-0.115,0.027,-0.058,-0.18
CHRNA4,-0.503,-0.276,-0.995,-0.009,-0.416,-0.165,-0.417,0.244,-0.173,-0.798,0.04,0.085,-0.956,-0.432
CHRNA6,-0.852,0.493,-0.596,0.196,-0.445,0.259,0.258,-0.203,0.471,-0.259,0.109,0.1,0.262,-0.298
CHRNB3,-0.686,0.316,-0.088,-0.617,0.032,-0.244,-0.237,-0.944,0.155,-0.265,0.233,-0.045,0.264,-0.078
CHRNE,-0.343,-0.274,-0.415,-0.042,-0.51,-0.171,-0.314,-0.491,-0.562,-0.185,-0.974,-0.655,-1.354,-0.118
CHST6,-0.189,0.203,-0.555,-0.232,-0.174,-0.738,-0.101,-0.168,-0.06,0.008,-0.899,-0.196,-0.742,0.161
CHST8,-0.824,-0.323,-1.289,-0.054,-0.094,0.03,-0.355,-0.115,-0.246,-0.539,-0.636,-0.666,-0.971,-0.747
CIC,-0.358,-0.547,-0.54,0.387,-0.965,0.043,-0.424,-0.012,-0.396,-0.429,-0.658,0.172,-1.107,0.068
CKLF-CMTM1,0.649,-0.114,-0.433,-0.352,-0.386,-0.247,-0.209,-0.046,-0.118,-0.097,-0.805,0.157,-0.033,-0.114
CLCN7,-0.019,-0.086,-0.405,0.22,-0.014,0.19,0.023,0.034,-0.455,0.045,-0.987,0.042,0.073,-0.289
CLDN14,0.211,-0.81,-0.267,-0.255,-0.451,-0.108,-0.339,-0.327,-0.284,-0.411,-0.704,-0.454,-1.077,-0.069
CLEC17A,-0.237,-1.117,-0.253,-0.13,-0.613,-0.495,0.107,-0.093,-0.563,-0.41,0.164,-0.125,-0.187,-0.375
CLIC6,-0.384,-1.149,-0.522,-0.2,-0.864,-0.234,-0.428,0.139,-0.623,-0.234,-0.454,-0.268,0.144,-0.715
CLINT1,-0.159,0.327,-0.791,-0.028,-0.622,-0.027,-0.137,-0.047,-0.227,0.45,-0.202,0.097,-0.247,-0.784
CLIP3,-0.338,-0.075,-0.113,-0.098,-0.319,0.18,-0.149,0.224,0.113,0.092,-0.982,-0.007,-0.827,-0.105
CLN3,-0.619,-1.087,-0.463,-0.265,-0.443,0.028,-0.745,-0.219,-0.631,0.055,-0.775,-0.725,-0.771,0.354
CLN6,-0.372,-0.831,-0.436,-0.309,-0.205,-0.189,-0.389,-0.685,-0.302,-0.537,-0.43,-0.288,-1.325,-0.035
CLN8,0.005,0.649,-0.367,-0.16,0.013,0.069,-0.043,0.14,-0.012,0.301,-0.813,-0.145,0.029,-0.129
CMAS,-0.195,-0.221,-0.05,-0.279,-0.083,-0.931,-0.763,-0.35,0.251,0.075,-0.058,0.264,-0.474,-0.69
CNBD1,-0.516,0.078,-0.863,-0.707,-0.402,-0.382,0.248,0.018,-0.303,0.125,-0.754,0.135,-0.521,-0.531
CNFN,-0.19,0.045,-0.72,-0.16,-0.734,0.12,-0.206,-0.42,-0.147,-0.455,-0.584,0.273,0.018,0.274
CNN1,-0.876,-0.174,-0.356,-0.176,-0.518,-0.414,-0.215,-0.249,-0.6,-0.311,-0.525,0.099,-1.483,0.103
CNNM4,-0.431,-0.596,-0.855,-0.306,-0.736,-0.551,-0.29,-0.34,-0.68,0.039,0.414,-0.124,-1.5,-0.474
CNOT7,-0.117,-0.101,0.187,0.122,0.629,-0.295,-0.132,0.941,0.347,0.028,0.36,0.979,-0.253,0.09
COG6,-0.378,0.01,-0.695,-0.351,-0.049,0.218,-0.163,-0.932,-0.131,0.093,0.239,0.043,-0.121,-0.878
COL15A1,-0.18,-0.346,-0.674,-0.19,-0.408,-0.191,-0.538,0.432,-0.846,-0.241,-0.064,-0.41,-0.631,-0.038
COL19A1,-0.067,-0.048,-0.428,0.033,0.026,-0.804,-0.698,-0.043,-0.683,-0.349,0.193,-0.262,-1.037,-0.35
COL26A1,-0.673,-0.613,-0.237,-0.494,-0.638,-0.056,-0.309,-0.443,-0.959,-0.594,-0.566,-0.658,-1.436,-0.299
COL4A2,-0.472,-0.306,-1.524,-0.613,-0.544,-0.449,-0.419,-0.421,-0.688,-0.774,-0.894,-0.575,-0.612,0.015
COL6A5,-0.048,-0.686,-0.466,0.07,-0.48,-0.458,-0.118,-0.889,-0.538,-0.118,-0.196,-0.002,-1.024,-0.166
COLGALT1,-0.307,-0.487,-0.907,-0.215,-0.526,-0.526,0.036,-0.068,-0.666,-0.297,-0.368,-0.313,-1.276,0.174
COMMD2,-0.266,0.204,-0.164,-0.58,0.143,-0.52,-0.191,0.573,0.262,-0.784,-1.261,-0.507,0.376,-0.428
COPG2,-0.814,-0.022,-0.003,-0.429,-0.057,0.191,-0.203,0.1,0.069,-0.665,-0.463,-0.045,-0.428,-0.804
COPS7B,0.544,0.043,0.232,-0.018,-0.322,-0.178,-0.326,0.332,-0.366,0.282,-0.584,0.087,-1.472,-0.059
COPS8,-0.554,-0.324,-0.637,-0.135,-0.133,-0.331,-0.069,-0.095,-0.459,-0.642,-0.309,0.148,-0.782,-1.12
COQ10B,-0.283,-0.103,0.104,-0.345,-0.617,0.306,-0.824,-0.166,-0.619,0.072,-0.733,0.325,0.062,0.19
